FileName,Type,Group,Instance,TGIType,TGISubtype,Message
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF40,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF41,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF42,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF43,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF53,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF54,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF55,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF56,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF57,EXMP,EXEMPLAR,missing property: ExemplarType
European Props, 0x6534284A,0x07BDDF1C,0xCCA75DEB,EXMP,EXEMPLAR,missing property: ExemplarType
European Props, 0x6534284A,0x07BDDF1C,0xCCA75DF3,EXMP,EXEMPLAR,missing property: ExemplarType
IPS Prop Pack, 0x6534284A,0x07BDDF1C,0x52E9FE55,EXMP,EXEMPLAR,missing property: ExemplarType
IPS Prop Pack, 0x6534284A,0x07BDDF1C,0xF2ECB927,EXMP,EXEMPLAR,missing property: ExemplarType
ivo_textures.dat,,,,,,Unable to read DBPF file. Format unknown.
JLY High-Definition Flags - Anglosphere .dat,,,,,,Unable to read DBPF file. Format unknown.
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x007AE153,EXMP,EXEMPLAR,missing property: ExemplarType
METMW Prop Pack Alpha, 0x6534284A,0x07BDDF1C,0x41867FC4,EXMP,EXEMPLAR,missing property: ExemplarType
